HOMOGENIZED MONTHLY VALUES

Stations
Stnr	Name	Operates from	Operates until	Altitude	Latitude	Longitude	Municipality	County	Region
18700	OSLO (R)	1937	 	94	59.9423	10.7200	Oslo	Oslo	SOUTHEASTERN NORWAY

In the table above is the homogene timeserie name and period used. R means reconstructed station timeserie.

Elements
Code	Name	Unit
TAM	Mean temperature	degC



St.no	Month	TAM
18700	04.1885	5.2
18700	05.1885	7.7
18700	06.1885	13.1
18700	07.1885	16.6
18700	08.1885	13.7
18700	09.1885	9.7
18700	10.1885	3.8
18700	11.1885	-0.9
18700	12.1885	-1.5
18700	01.1886	-2.9
18700	02.1886	-3.4
18700	03.1886	-2.6
18700	04.1886	3.9
18700	05.1886	9.1
18700	06.1886	14.4
18700	07.1886	16.2
18700	08.1886	14.8
18700	09.1886	11.0
18700	10.1886	5.6
18700	11.1886	2.5
18700	12.1886	-5.8
18700	01.1887	-1.3
18700	02.1887	-0.3
18700	03.1887	1.0
18700	04.1887	4.2
18700	05.1887	10.3
18700	06.1887	16.1
18700	07.1887	16.1
18700	08.1887	14.2
18700	09.1887	11.2
18700	10.1887	4.3
18700	11.1887	-1.0
18700	12.1887	-4.0
18700	01.1888	-3.4
18700	02.1888	-8.1
18700	03.1888	-6.5
18700	04.1888	1.6
18700	05.1888	8.9
18700	06.1888	15.2
18700	07.1888	15.8
18700	08.1888	13.8
18700	09.1888	11.0
18700	10.1888	4.4
18700	11.1888	-1.1
18700	12.1888	-0.2
18700	01.1889	-1.5
18700	02.1889	-4.9
18700	03.1889	-1.8
18700	04.1889	5.1
18700	05.1889	14.6
18700	06.1889	19.6
18700	07.1889	16.4
18700	08.1889	14.5
18700	09.1889	10.0
18700	10.1889	6.9
18700	11.1889	0.8
18700	12.1889	-1.4
18700	01.1890	0.6
18700	02.1890	-2.7
18700	03.1890	1.2
18700	04.1890	4.6
18700	05.1890	12.9
18700	06.1890	13.5
18700	07.1890	14.4
18700	08.1890	14.5
18700	09.1890	12.3
18700	10.1890	4.7
18700	11.1890	0.3
18700	12.1890	-5.1
18700	01.1891	-5.7
18700	02.1891	-1.4
18700	03.1891	-1.7
18700	04.1891	4.4
18700	05.1891	9.6
18700	06.1891	14.8
18700	07.1891	17.3
18700	08.1891	14.3
18700	09.1891	11.5
18700	10.1891	7.8
18700	11.1891	-1.0
18700	12.1891	-2.4
18700	01.1892	-6.9
18700	02.1892	-4.3
18700	03.1892	-0.3
18700	04.1892	4.3
18700	05.1892	9.2
18700	06.1892	13.8
18700	07.1892	16.4
18700	08.1892	14.2
18700	09.1892	11.0
18700	10.1892	5.7
18700	11.1892	1.7
18700	12.1892	-5.5
18700	01.1893	-8.1
18700	02.1893	-9.7
18700	03.1893	0.9
18700	04.1893	5.3
18700	05.1893	10.1
18700	06.1893	15.6
18700	07.1893	17.6
18700	08.1893	15.5
18700	09.1893	9.9
18700	10.1893	5.6
18700	11.1893	-1.8
18700	12.1893	-0.3
18700	01.1894	-1.8
18700	02.1894	-1.7
18700	03.1894	2.4
18700	04.1894	6.9
18700	05.1894	8.7
18700	06.1894	15.3
18700	07.1894	18.3
18700	08.1894	14.4
18700	09.1894	9.7
18700	10.1894	3.9
18700	11.1894	2.8
18700	12.1894	-1.5
18700	01.1895	-6.5
18700	02.1895	-7.3
18700	03.1895	-0.9
18700	04.1895	4.9
18700	05.1895	13.5
18700	06.1895	15.4
18700	07.1895	15.2
18700	08.1895	15.0
18700	09.1895	12.0
18700	10.1895	3.4
18700	11.1895	-0.7
18700	12.1895	-3.9
18700	01.1896	-4.6
18700	02.1896	-1.0
18700	03.1896	0.5
18700	04.1896	5.0
18700	05.1896	11.7
18700	06.1896	17.7
18700	07.1896	18.5
18700	08.1896	14.8
18700	09.1896	11.5
18700	10.1896	5.8
18700	11.1896	-1.7
18700	12.1896	-3.4
